commit	phase	tok_per_s	mfu	correctness	compile_s	status	description
a616588	1	570.6	0.2	100.0	391.0	keep	baseline (BF16 experts, FP8 KV, TP4, 4096 segment, max_seqs=1)
96f6839	1	570.6	0.2	100.0	391.0	discard	explicit O2 compile (570.585 exact vs 570.601 baseline)
2082e41	1	1078.1	0.4	100.0	331.0	keep	2048-token prefill segment (88.9% faster than baseline)
015327a	1	1073.7	0.4	100.0	260.0	discard	4096/8192/12288 decode buckets (0.41% slower)
5fea7e9	1	1005.0	0.4	100.0	290.0	discard	1024-token prefill segment (6.78% slower than 2048)
f874119	1	1073.8	0.4	100.0	310.0	discard	16-token KV blocks (0.40% slower than block32)
06cd37c	1	1082.9	0.4	100.0	300.0	keep	BF16 KV cache (two runs: 1082.7, 1083.0; +0.44%)
31ed9db	1	1139.3	0.4	100.0	260.0	keep	512-token prefill segment (+5.21% over 2048 BF16 KV best)
1e0d408	1	1132.8	0.4	100.0	240.0	discard	16-token KV blocks with 512 segment (0.57% slower)
86c69af	1	1148.9	0.5	100.0	241.0	keep	64-token KV blocks (two runs: 1147.8, 1149.9; +0.84%)
e5d7fd6	1	1137.0	0.4	100.0	240.0	discard	128-token KV blocks (1.04% slower than block64)
b3f2675	1	1144.8	0.5	100.0	260.0	discard	all-greedy on-device sampling specialization (0.36% slower)
d1c73bf	1	1142.7	0.5	100.0	250.0	discard	O2 compile on 512/block64 shapes (0.54% slower)
1067451	1	1132.5	0.4	100.0	170.0	discard	synchronous scheduling (1.43% slower than async)
e6569c1	1	1148.1	0.5	100.0	251.0	discard	score-aligned decode buckets (0.07% slower; extra graph cost)
905264b	1	1148.7	0.5	100.0	190.0	discard	0.4 GiB KV floor only (no-op: capacity remained 48,192)
ace66e9	1	1147.2	0.5	100.0	240.0	discard	19,264-token minimal KV cache (two runs: 1150.6, 1143.8)
bb99b71	1	0.0	0.0	0.0	50.0	crash	Neuron runtime queue64 failed DMA rx-ring host allocation
e9a6a2f	1	1146.3	0.5	100.0	191.0	discard	Neuron runtime queue16 (0.23% slower than default32)
0b90fdc	2	1148.2	0.5	100.0	190.0	discard	disable Prometheus metrics hot path (two runs: 1149.3, 1147.0; average below best)
0ee2802	2	1147.7	0.5	100.0	190.0	discard	skip per-segment token range reductions (0.10% below best)
34984be	2	1173.1	0.5	100.0	240.0	keep	Qwen3 MoE prefill block 128 (two runs: 1172.7, 1173.5; +2.11%)
df7944c	2	0.0	0.0	0.0	70.0	crash	Qwen3 MoE prefill block 64 (NKI requires positive 128-row tile; generated shape 128x0)
9c3ec40	2	1172.5	0.5	100.0	260.0	discard	process two MoE blocks per NKI iteration (0.05% below 128-block best)
9ee8a84	2	1219.2	0.5	100.0	260.0	keep	skip expert weight DMA on padding blocks (two runs: 1218.2, 1220.2; +3.93%)
5cbca44	2	1213.4	0.5	100.0	250.0	discard	combine skip-weight with two-block iterations (0.48% below best)
11ec1fb	2	1173.1	0.5	100.0	260.0	discard	skip-weight with 256-token MoE blocks (3.78% below best; confirms 128-block interaction)
c61236a	2	0.0	0.0	0.0	90.0	crash	intermediate-sharded MoE CTE (vLLM wrapper indexed 2D shard-I output as 3D)
3bd0823	2	1105.5	0.4	100.0	280.0	discard	expert-parallel TP4 layout (9.33% below best; collective/layout overhead dominates)
7694031	2	1216.6	0.5	100.0	250.0	discard	BF16 router GEMM with FP32 softmax (0.21% below best)
3e5576f	2	0.0	0.0	0.0	71.0	crash	fully BF16 expert routing (Dynamo scatter dtype mismatch in routing graph)
d1f367c	2	0.0	0.0	0.0	70.0	crash	fuse segmented-attention scale (kernel wrapper was unregistered None due nkilib_src import path)
8260dc4	2	1149.3	0.4	100.0	230.0	discard	register segmented attention NKI (fast short context, degrades to 919 tok/s at 15.6k)
91d3b3e	2	1199.5	0.5	100.0	220.0	discard	BF16 QK/PV bmm with FP32 softmax fallback (1.62% below best)
8e402dd	2	0.0	0.0	0.0	60.0	crash	device hybrid NKI/fallback attention (torch.cond rejects aliased KV-cache operands)
4cdf42f	2	1223.4	0.5	100.0	170.0	keep	NKI fused router logits/top-k with exact full-softmax mask (two runs: 1222.4, 1224.3; +0.34%)
1048489	2	1226.3	0.5	100.0	170.0	keep	direct DMA scatter in fused router (two runs: 1228.2, 1224.3; +0.24%)
f67231a	2	1225.6	0.5	100.0	170.0	discard	column-tiled fused router (0.05% below direct-scatter best)
d6530d0	2	1221.6	0.5	100.0	170.0	discard	expert-sharded fused router (0.38% below token-sharded best)
9a1d994	2	1226.0	0.5	100.0	170.0	discard	BF16 NKI router plus FP32 softmax (no throughput gain and quantizes logits)
80e6ef4	2	1227.3	0.5	100.0	170.5	keep	sigmoid-only NKI Top-K mask plus exact FP32 softmax (two runs: 1228.6, 1226.0; +0.08%)
ec6d27f	2	1220.9	0.5	100.0	170.0	discard	direct NKI full-softmax Top-K scatter (0.52% below host FP32 softmax path)
5a28755	2	1223.1	0.5	100.0	170.0	discard	BF16 expert affinities before gather/mapping (0.34% below FP32 best)
c925d07	2	1226.8	0.5	100.0	170.0	discard	multiply router mask instead of where/select (0.04% below best)
468a853	2	1247.9	0.5	100.0	195.0	keep	fuse attention scale into FP32 query (two runs: 1246.6, 1249.1; +1.68%)
6c937dd	2	1450.6	0.6	100.0	190.0	keep	remove redundant in-sequence mask and NaN cleanup (two runs: 1452.9, 1448.3; +16.24%)
57d8a32	2	1444.4	0.6	100.0	195.5	discard	broadcast KV heads in segmented GQA (two runs: 1453.4, 1435.3; average below best)
